/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_iotdb --host 172.31.18.64 --user stackit --password PjjeGSGKUBOzG9duX0C3VtQD6BU33qoECMqY2MmF7feQx7v0j7flv3tlyeOer3lu --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
2023/09/14 11:39:25 tsbs_load_iotdb target: 172.31.18.64:6667, no timeout for session opening check. Loading with 50 workers.
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1694691575,3682579.04,3.683100E+07,3682579.04,328253.56,3.283000E+06,328253.56
1694691585,0.00,3.683100E+07,1841444.54,0.00,3.283000E+06,164140.60
1694691595,0.00,3.683100E+07,1227620.35,0.00,3.283000E+06,109426.23
1694691605,0.00,3.683100E+07,920731.25,0.00,3.283000E+06,82071.10
1694691615,0.00,3.683100E+07,736596.92,0.00,3.283000E+06,65657.94
1694691625,0.00,3.683100E+07,613837.48,0.00,3.283000E+06,54715.55
1694691635,909157.65,4.592250E+07,656025.03,81400.68,4.097000E+06,58527.62
1694691645,2117782.15,6.710100E+07,838747.19,188893.95,5.986000E+06,74823.63
1694691655,590925.33,7.301000E+07,811212.92,52602.25,6.512000E+06,72354.73
1694691665,1031488.04,8.332500E+07,833240.44,93198.92,7.444000E+06,74439.15
1694691675,787660.11,9.120200E+07,829096.62,69796.47,8.142000E+06,74017.07
1694691685,500023.87,9.620200E+07,801675.47,44402.12,8.586000E+06,71549.30
1694691695,555701.64,1.017590E+08,782754.63,49000.14,9.076000E+06,69814.77
1694691705,422010.22,1.059790E+08,756987.96,38500.93,9.461000E+06,67578.13
1694691715,551497.41,1.114940E+08,743288.62,48999.77,9.951000E+06,66339.58
1694691725,597601.14,1.174700E+08,734183.22,53400.10,1.048500E+07,65530.87
1694691735,1207967.02,1.295500E+08,762053.42,106897.08,1.155400E+07,67964.22
1694691745,1634026.79,1.458900E+08,810495.31,145202.38,1.300600E+07,72255.14
1694691755,1012679.63,1.560170E+08,821136.73,91398.16,1.392000E+07,73262.68
1694691765,1879545.03,1.748120E+08,874055.61,167004.00,1.559000E+07,77949.61
1694691775,877872.21,1.835910E+08,874237.36,77997.53,1.637000E+07,77951.89
1694691785,1059425.25,1.941850E+08,882654.75,94602.25,1.731600E+07,78708.70
1694691795,409191.20,1.982770E+08,862069.05,36999.20,1.768600E+07,76895.22
1694691805,485711.59,2.031340E+08,846387.93,43501.04,1.812100E+07,75503.83
1694691815,635087.40,2.094850E+08,837935.79,56298.88,1.868400E+07,74735.62
1694691825,799611.65,2.174810E+08,836461.81,70401.03,1.938800E+07,74568.91
1694691835,908016.81,2.265610E+08,839111.94,81501.51,2.020300E+07,74825.67
1694691845,1471146.25,2.412760E+08,861689.75,131068.48,2.151400E+07,76834.80
1694691855,1188363.51,2.531580E+08,872952.74,106214.61,2.257600E+07,77847.75
1694691865,1080310.23,2.639600E+08,879863.93,95509.75,2.353100E+07,78436.42
1694691875,1954677.39,2.835080E+08,914537.33,173489.12,2.526600E+07,81502.82
1694691885,1250535.97,2.960130E+08,925036.94,112603.24,2.639200E+07,82474.67
1694691895,722187.93,3.032350E+08,918889.93,64798.92,2.704000E+07,81939.04
1694691905,713933.64,3.103740E+08,912862.10,63603.00,2.767600E+07,81399.77
1694691915,1122606.50,3.216000E+08,918854.75,99600.58,2.867200E+07,81919.79
1694691925,1625570.50,3.378570E+08,938487.21,145088.44,3.012300E+07,83674.60
1694691935,1485518.74,3.527110E+08,953270.63,132510.59,3.144800E+07,84994.39
1694691945,1206780.63,3.647790E+08,959942.03,106598.29,3.251400E+07,85562.92
1694691955,1762448.74,3.824040E+08,980519.66,157195.43,3.408600E+07,87399.70
1694691965,2061782.98,4.030230E+08,1007552.64,184389.53,3.593000E+07,89824.57
1694691975,900968.57,4.120320E+08,1004953.24,80506.13,3.673500E+07,89597.31
1694691985,1418636.21,4.262180E+08,1014802.56,126503.23,3.800000E+07,90475.99
1694691995,1309034.95,4.393090E+08,1021645.49,115694.25,3.915700E+07,91062.49
1694692005,1666254.79,4.559720E+08,1036296.04,148995.96,4.064700E+07,92379.19
1694692015,1326387.37,4.692360E+08,1042742.55,118398.87,4.183100E+07,92957.41
1694692025,1670139.78,4.859360E+08,1056380.45,147612.35,4.330700E+07,94145.46
1694692035,1972903.52,5.056650E+08,1075880.87,177300.32,4.508000E+07,95914.71
1694692045,1773190.12,5.233970E+08,1090408.20,157199.12,4.665200E+07,97191.47
1694692055,1243408.56,5.358310E+08,1093530.63,111500.77,4.776700E+07,97483.49
1694692065,1605308.94,5.518850E+08,1103766.74,142191.93,4.918900E+07,98377.71
1694692075,1164257.93,5.635270E+08,1104952.78,104705.21,5.023600E+07,98501.77
1694692085,1333697.51,5.768640E+08,1109351.72,117999.78,5.141600E+07,98876.73
1694692095,1683912.03,5.937030E+08,1120192.39,150401.07,5.292000E+07,99848.88
1694692105,2186996.83,6.155730E+08,1139948.02,195099.72,5.487100E+07,101612.79
1694692115,1385898.29,6.294320E+08,1144419.84,123799.85,5.610900E+07,102016.19
1694692125,1492194.18,6.443540E+08,1150630.11,131899.49,5.742800E+07,102549.82
1694692135,1241004.08,6.567640E+08,1152215.61,111100.37,5.853900E+07,102699.83
1694692145,1632706.35,6.730910E+08,1160499.89,144800.56,5.998700E+07,103425.70
1694692155,1826443.85,6.913560E+08,1171787.40,164094.95,6.162800E+07,104454.02
1694692165,1959543.99,7.109510E+08,1184916.36,173603.90,6.336400E+07,105606.49
1694692175,1429601.56,7.252470E+08,1188927.58,128800.14,6.465200E+07,105986.71
1694692185,1744114.55,7.426880E+08,1197882.12,154501.29,6.619700E+07,106769.20
1694692195,1653987.92,7.592280E+08,1205121.93,147098.93,6.766800E+07,107409.36
1694692205,1291692.09,7.721450E+08,1206474.60,115399.29,6.882200E+07,107534.20
1694692215,1549005.35,7.876350E+08,1211744.28,136800.47,7.019000E+07,107984.45
1694692225,1798304.54,8.056180E+08,1220631.52,162000.41,7.181000E+07,108802.87
1694692235,1828508.80,8.239030E+08,1229704.26,162500.78,7.343500E+07,109604.32
1694692245,1640194.72,8.403050E+08,1235740.89,145999.53,7.489500E+07,110139.55
1694692255,1573062.18,8.560360E+08,1240629.72,139596.64,7.629100E+07,110566.47
1694692265,1414714.20,8.701830E+08,1243116.61,126001.26,7.755100E+07,110786.97
1694692275,1575524.63,8.859380E+08,1247798.33,140602.20,7.895700E+07,111206.89
1694692285,1741155.54,9.033500E+08,1254650.68,155696.02,8.051400E+07,111824.81
