Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address         Load       Tokens  Owns (effective)  Host ID                               Rack 
UN  85.215.204.48   74.05 KiB  16      23.3%             7d19e6ad-177d-412d-ac2e-344945079ed1  rack1
UN  85.215.210.239  88.57 KiB  16      22.3%             65970a71-23e2-4602-a479-0d6e5015a037  rack1
UN  85.215.233.144  74.04 KiB  16      22.3%             e4aee953-7fbf-4232-9bcb-21743c849fbf  rack1
UN  185.56.151.46   69.08 KiB  16      22.1%             2bf215ba-92bd-455e-be59-be7b85cb16fd  rack1
UN  185.132.46.36   69.07 KiB  16      21.3%             6994ca59-368e-470e-a689-f604d6e92c98  rack1
UN  85.215.249.229  69.09 KiB  16      23.0%             b683b49d-c190-4df3-aff1-5badd3afef79  rack1
UN  185.132.46.21   74.12 KiB  16      21.9%             317b0cf1-5313-499c-a862-e5e2b6ae4af9  rack1
UN  185.56.150.52   69.08 KiB  16      21.5%             738440fe-a526-48a6-9cd8-7ee67cf2450c  rack1
UN  185.56.151.37   69.07 KiB  16      22.2%             8c6b0a9e-95f4-4020-b92a-222958f25b66  rack1

