/binary/tsbs/bin/tsbs_generate_data --initial-scale=0 --scale=1000 --seed=123 --timestamp-start=2022-07-25T00:00:00Z --timestamp-end=2022-07-28T00:00:00Z --use-case=devops --log-interval=10s --format=kaiwudb | gzip > /binary/tsbs/bin/data.gz  && cat /binary/tsbs/bin/data.gz | gunzip | /binary/tsbs/bin/tsbs_load_kaiwudb --host=172.31.22.197 --port=36257  --insert-type=prepare --batch-size=1000 --hash-workers=true --seed=123 --reporting-period=10s --workers=50
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1732697515,1722586.86,1.722598E+07,1722586.86,153599.01,1.536000E+06,153599.01
1732697525,3048943.83,4.771546E+07,2385763.65,271699.63,4.253000E+06,212649.17
1732697535,1160461.52,5.932070E+07,1977316.01,103394.43,5.287000E+06,176229.71
1732697545,122185.22,6.054256E+07,1513538.26,10899.93,5.396000E+06,134897.71
1732697555,1763564.12,7.817710E+07,1563540.25,157109.81,6.967000E+06,139339.84
1732697565,1766833.32,9.584656E+07,1597424.20,157489.96,8.542000E+06,142365.02
1732697575,18089.82,9.602746E+07,1371805.30,1599.98,8.558000E+06,122255.76
1732697585,28688.48,9.631434E+07,1203919.83,2600.04,8.584000E+06,107299.16
1732697595,203235.21,9.834670E+07,1092733.04,18099.93,8.765000E+06,97388.17
1732697605,310781.22,1.014546E+08,1014537.30,27699.57,9.042000E+06,90419.26
1732697615,175805.18,1.032127E+08,938287.59,15599.57,9.198000E+06,83617.35
1732697625,295059.93,1.061631E+08,884688.76,26301.60,9.461000E+06,78841.35
1732697635,61669.50,1.067798E+08,821381.24,5500.13,9.516000E+06,73199.86
1732697645,126563.53,1.080454E+08,771750.59,11299.78,9.629000E+06,68778.36
1732697655,64368.49,1.086891E+08,724590.89,5699.87,9.686000E+06,64573.04
1732697665,55653.82,1.092457E+08,682780.96,4999.80,9.736000E+06,60849.60
1732697675,170735.06,1.109529E+08,652662.97,15201.16,9.888000E+06,58164.60
1732697685,753508.74,1.184878E+08,658265.37,67101.67,1.055900E+07,58661.09
1732697695,829439.50,1.267822E+08,667274.54,73999.96,1.129900E+07,59468.40
1732697705,1839811.69,1.451814E+08,725904.78,163890.00,1.293800E+07,64689.78
1732697715,102198.19,1.462034E+08,696206.27,9100.55,1.302900E+07,62042.84
1732697725,70658.87,1.469100E+08,667771.87,6299.90,1.309200E+07,59509.03
1732697735,156114.74,1.484712E+08,645524.94,13899.35,1.323100E+07,57525.92
1732697745,54930.76,1.490205E+08,620916.39,4899.89,1.328000E+07,55333.12
1732697755,90743.75,1.499279E+08,599710.85,8100.51,1.336100E+07,53443.94
1732697765,147938.84,1.514074E+08,582333.99,13199.18,1.349300E+07,51895.97
1732697775,135623.88,1.527636E+08,565789.21,12099.99,1.361400E+07,50422.05
1732697785,106651.73,1.538301E+08,549391.46,9499.98,1.370900E+07,48960.55
1732697795,229314.30,1.561232E+08,538354.74,20400.74,1.391300E+07,47975.77
1732697805,2721229.24,1.833341E+08,611113.43,242512.59,1.633800E+07,54459.99
1732697815,2831566.36,2.116498E+08,682741.07,252299.50,1.886100E+07,60841.92
1732697825,2908879.17,2.407386E+08,752307.89,259199.93,2.145300E+07,67040.61
1732697835,2974873.40,2.704873E+08,819658.23,265100.48,2.410400E+07,73042.41
1732697845,2213457.44,2.926218E+08,860652.33,197199.95,2.607600E+07,76694.10
1732697855,2693890.50,3.195607E+08,913030.54,240100.04,2.847700E+07,81362.84
1732697865,2607956.31,3.456413E+08,960113.56,232391.12,3.080100E+07,85558.23
1732697875,2671902.32,3.723593E+08,1006376.34,238109.12,3.318200E+07,89681.07
1732697885,2834766.67,4.007070E+08,1054491.86,252600.06,3.570800E+07,93968.41
1732697895,2672832.16,4.274353E+08,1095987.75,238200.01,3.809000E+07,97666.65
1732697905,2919455.11,4.566300E+08,1141574.75,260098.14,4.069100E+07,101727.47
1732697915,3030573.28,4.869356E+08,1187647.55,270001.90,4.339100E+07,105831.69
1732697925,2562418.51,5.125598E+08,1220380.21,228399.87,4.567500E+07,108749.98
1732697935,3014985.97,5.427096E+08,1262115.20,268600.18,4.836100E+07,112467.43
1732697945,2983514.86,5.725448E+08,1301237.95,265899.72,5.102000E+07,115954.53
1732697955,2889124.51,6.014361E+08,1336524.45,257498.98,5.359500E+07,119099.97
1732697965,2430330.60,6.257393E+08,1360302.72,216501.12,5.576000E+07,121217.38
1732697975,2831523.54,6.540546E+08,1391605.31,252299.78,5.828300E+07,124006.37
1732697985,2871270.53,6.827673E+08,1422431.64,255900.23,6.084200E+07,126754.15
1732697995,2788905.81,7.106563E+08,1450318.87,248499.98,6.332700E+07,129238.76
1732698005,2676469.46,7.374212E+08,1474842.08,238497.99,6.571200E+07,131423.96
1732698015,2593710.32,7.633583E+08,1496780.63,231100.38,6.802300E+07,133378.40
1732698025,2834432.81,7.917026E+08,1522504.70,252600.07,7.054900E+07,135671.12
1732698035,2539789.09,8.171005E+08,1541698.73,226300.10,7.281200E+07,137381.10
1732698045,2862438.74,8.457249E+08,1566156.89,254999.89,7.536200E+07,139559.23
1732698055,2936339.52,8.750883E+08,1591069.31,261699.78,7.797900E+07,141779.97
1732698065,2938511.92,9.044735E+08,1615130.85,261899.28,8.059800E+07,143924.96
1732698075,2521804.34,9.296914E+08,1631037.28,224701.63,8.284500E+07,145342.09
1732698085,2500146.59,9.546929E+08,1646021.97,222799.34,8.507300E+07,146677.56
1732698095,2581815.52,9.805110E+08,1661882.81,230000.85,8.737300E+07,148089.81
1732698105,2585370.86,1.006365E+09,1677274.26,230400.25,8.967700E+07,149461.65
1732698115,2786640.84,1.034231E+09,1695460.71,248398.47,9.216100E+07,151083.58
1732698125,2873175.60,1.062963E+09,1714456.00,255901.39,9.472000E+07,152774.18
1732698135,2952606.43,1.092489E+09,1734109.16,263100.39,9.735100E+07,154525.38
1732698145,2528792.02,1.117777E+09,1746526.07,225400.00,9.960500E+07,155632.80
1732698155,2718383.90,1.144961E+09,1761477.76,242199.46,1.020270E+08,156964.60
1732698165,2512472.07,1.170085E+09,1772856.44,223900.54,1.042660E+08,157978.78
1732698175,2611973.39,1.196205E+09,1785380.57,232799.95,1.065940E+08,159095.51
1732698185,2694547.09,1.223151E+09,1798750.67,240099.92,1.089950E+08,160286.75
1732698195,2807233.97,1.251223E+09,1813366.36,250100.18,1.114960E+08,161588.39
1732698205,2917959.26,1.280403E+09,1829146.29,259999.40,1.140960E+08,162994.27
1732698215,2889005.03,1.309295E+09,1844075.24,257476.21,1.166710E+08,164325.12
1732698225,2531690.66,1.334610E+09,1853624.59,225520.37,1.189260E+08,165174.98
1732698235,2653378.13,1.361144E+09,1864580.10,236500.37,1.212910E+08,166152.04
1732698245,2599785.47,1.387141E+09,1874515.30,231700.13,1.236080E+08,167037.82
1732698255,2564546.43,1.412787E+09,1883715.78,228498.43,1.258930E+08,167857.30
1732698265,2834388.01,1.441131E+09,1896224.52,252502.14,1.284180E+08,168971.04
1732698275,2848469.85,1.469615E+09,1908591.33,253900.16,1.309570E+08,170074.01
1732698285,2986811.91,1.499484E+09,1922414.70,266199.46,1.336190E+08,171306.39
1732698295,2625176.80,1.525736E+09,1931310.46,233898.82,1.359580E+08,172098.71
1732698305,2744921.77,1.553185E+09,1941480.57,244500.87,1.384030E+08,173003.73
1732698315,2439742.34,1.577582E+09,1947631.93,217500.74,1.405780E+08,173553.08
1732698325,2723353.61,1.604816E+09,1957091.95,242699.79,1.430050E+08,174396.33
1732698335,2684699.71,1.631663E+09,1965858.31,239199.97,1.453970E+08,175177.10
1732698345,2904118.66,1.660705E+09,1977028.74,258784.55,1.479850E+08,176172.48
1732698355,2812943.66,1.688833E+09,1986862.46,250614.40,1.504910E+08,177048.22
1732698365,2769323.51,1.716526E+09,1995960.85,246799.96,1.529590E+08,177859.28
