Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address        Load        Tokens  Owns (effective)  Host ID                               Rack 
UN  172.31.19.32   80.65 KiB   16      21.3%             6a769ce5-b067-43fa-8755-5aa57e674078  rack1
UN  172.31.16.178  85.69 KiB   16      22.3%             bb9ba058-f326-41d5-b8bb-e62fcbd7993d  rack1
UN  172.31.20.63   120.66 KiB  16      21.9%             62456e20-fbc7-4793-beb4-86d9791f5552  rack1
UN  172.31.26.99   80.66 KiB   16      21.5%             8fe47a89-603b-40c8-8f95-78f21865a84b  rack1
UN  172.31.27.60   115.13 KiB  16      22.3%             d9c8edcb-e23d-44f6-8e1c-e7d8dee8e98e  rack1
UN  172.31.16.181  80.67 KiB   16      22.1%             5c6e2e00-ae52-4d60-9c9a-e5b6f6f01760  rack1
UN  172.31.18.46   80.65 KiB   16      23.3%             c3a56158-20d0-4aef-b8fb-263962fb98b9  rack1
UN  172.31.30.169  80.66 KiB   16      23.0%             fdba553c-a350-41b7-a532-403f05e36648  rack1
UN  172.31.25.28   80.65 KiB   16      22.2%             7833732a-78b3-47f5-8b9b-fa1e511ee34b  rack1

