Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address        Load        Tokens  Owns (effective)  Host ID                               Rack 
UN  172.31.27.200  85.1 KiB    16      22.3%             a5e26461-3f08-47b3-aba5-210e83a8856f  rack1
UN  172.31.30.126  80.07 KiB   16      21.5%             3ca8935b-4146-4b6b-aec6-d9c6efb0f3d2  rack1
UN  172.31.20.180  85.12 KiB   16      21.3%             457a5594-c4ad-47e0-acf1-3e7b8b230e1c  rack1
UN  172.31.31.22   80.07 KiB   16      22.1%             8fe546f8-3b1d-4ba9-9db3-89bb45af5c71  rack1
UN  172.31.19.187  80.07 KiB   16      22.2%             9de095b6-a097-475b-ab9d-25c22acfa1e8  rack1
UN  172.31.25.186  109.68 KiB  16      22.3%             c41173fa-c96d-4826-853e-f71cc18a7022  rack1
UN  172.31.29.139  80.07 KiB   16      23.0%             15414914-d33a-4d1b-93e4-8e3d89322fdb  rack1
UN  172.31.22.183  119.85 KiB  16      21.9%             88405bb3-9ff1-4166-b7ae-e6e74539f94f  rack1
UN  172.31.26.249  80.08 KiB   16      23.3%             8b752bc4-1e86-45ed-b93a-8e0c47937460  rack1

