/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_iotdb --host 172.31.19.163 --user stackit --password PjjeGSGKUBOzG9duX0C3VtQD6BU33qoECMqY2MmF7feQx7v0j7flv3tlyeOer3lu --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
2023/08/10 12:25:46 tsbs_load_iotdb target: 172.31.19.163:6667, no timeout for session opening check. Loading with 50 workers.
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1691671016,1108602.93,5.616070E+08,838219.30,99700.26,5.005600E+07,74710.44
1691671026,1273030.40,5.743380E+08,844613.93,114193.76,5.119800E+07,75291.11
1691671036,680499.21,5.811430E+08,842235.45,60699.93,5.180500E+07,75079.64
1691671046,714321.67,5.882860E+08,840408.17,62901.91,5.243400E+07,74905.68
1691671056,715372.69,5.954400E+08,838647.04,64097.55,5.307500E+07,74753.45
1691671066,691203.65,6.023520E+08,836599.23,62000.33,5.369500E+07,74576.32
1691671076,489413.05,6.072460E+08,831843.38,43701.17,5.413200E+07,74153.38
1691671086,307910.50,6.103250E+08,824763.45,27800.95,5.441000E+07,73527.02
1691671096,622547.91,6.165510E+08,822067.02,55595.35,5.496600E+07,73287.91
1691671106,516437.85,6.217150E+08,818045.88,45303.32,5.541900E+07,72919.72
1691671116,568192.17,6.273970E+08,814800.98,50099.31,5.592000E+07,72623.35
1691671126,1182445.78,6.392220E+08,819514.59,105095.18,5.697100E+07,73039.67
1691671136,800401.96,6.472260E+08,819272.66,71200.17,5.768300E+07,73016.39
1691671146,1039800.84,6.576240E+08,822029.26,93000.08,5.861300E+07,73266.18
1691671156,1067350.38,6.682970E+08,825057.77,94904.48,5.956200E+07,73533.31
1691671166,1122333.69,6.795210E+08,828683.29,100394.07,6.056600E+07,73860.90
1691671176,965176.47,6.891720E+08,830327.66,86206.83,6.142800E+07,74009.63
1691671186,725179.69,6.964240E+08,829075.86,64998.18,6.207800E+07,73902.35
1691671196,612985.36,7.025540E+08,826533.56,54898.69,6.262700E+07,73678.77
1691671206,599075.82,7.085450E+08,823888.60,53497.84,6.316200E+07,73444.10
1691671216,564595.05,7.141910E+08,820908.19,50099.56,6.366300E+07,73175.77
1691671226,698869.83,7.211790E+08,819521.53,61406.14,6.427700E+07,73042.04
1691671236,950136.35,7.306810E+08,820989.21,84394.35,6.512100E+07,73169.60
1691671246,1334558.94,7.440260E+08,826695.29,119105.26,6.631200E+07,73679.98
1691671256,847166.03,7.524980E+08,826920.25,75796.96,6.707000E+07,73703.24
1691671266,901648.14,7.615140E+08,827732.47,80504.30,6.787500E+07,73777.16
1691671276,1314782.39,7.746620E+08,832969.63,117198.43,6.904700E+07,74244.06
1691671286,535909.39,7.800210E+08,829809.47,47800.84,6.952500E+07,73962.76
1691671296,783905.78,7.878600E+08,829326.28,69500.51,7.022000E+07,73915.79
1691671306,928195.95,7.971420E+08,830356.18,82999.64,7.105000E+07,74010.41
1691671316,436572.68,8.015080E+08,826296.30,40197.48,7.145200E+07,73661.80
1691671326,504088.84,8.065490E+08,823008.40,44799.01,7.190000E+07,73367.28
1691671336,760653.09,8.141550E+08,822378.59,66804.66,7.256800E+07,73300.99
1691671346,607185.60,8.202270E+08,820226.61,53398.73,7.310200E+07,73101.97
1691671356,1269747.18,8.329240E+08,824677.15,113204.21,7.423400E+07,73499.00
1691671366,1075501.08,8.436790E+08,827136.20,95200.10,7.518600E+07,73711.76
1691671376,980266.99,8.534820E+08,828622.96,87797.04,7.606400E+07,73848.51
1691671386,1128982.35,8.647720E+08,831511.07,100098.44,7.706500E+07,74100.92
1691671396,888243.65,8.736540E+08,832051.36,79903.93,7.786400E+07,74156.18
1691671406,782171.43,8.814760E+08,831580.77,70297.43,7.856700E+07,74119.78
1691671416,1106923.34,8.925450E+08,834154.01,98802.08,7.955500E+07,74350.45
1691671426,714706.47,8.996920E+08,833048.03,64700.59,8.020200E+07,74261.10
1691671436,498690.96,9.046790E+08,829980.48,43899.20,8.064100E+07,73982.55
1691671446,670007.70,9.113790E+08,828526.20,59000.68,8.123100E+07,73846.35
1691671456,443307.88,9.158120E+08,825055.82,38800.69,8.161900E+07,73530.63
1691671466,720337.17,9.230160E+08,824120.75,64094.41,8.226000E+07,73446.37
1691671476,724354.87,9.302590E+08,823237.94,65004.92,8.291000E+07,73371.67
1691671486,1134905.53,9.416080E+08,825971.85,101100.49,8.392100E+07,73614.91
1691671496,818046.71,9.497890E+08,825902.93,72195.30,8.464300E+07,73602.56
1691671506,1001757.60,9.598060E+08,827418.83,89705.16,8.554000E+07,73741.37
1691671516,812447.89,9.679310E+08,827290.87,72395.36,8.626400E+07,73729.86
1691671526,701514.33,9.749460E+08,826224.99,62701.28,8.689100E+07,73636.40
1691671536,768541.59,9.826310E+08,825740.28,69203.74,8.758300E+07,73599.15
1691671546,756003.08,9.901910E+08,825159.14,67500.27,8.825800E+07,73548.33
1691671556,492058.84,9.951120E+08,822406.01,43796.34,8.869600E+07,73302.43
1691671566,635827.22,1.001470E+09,820876.75,56602.42,8.926200E+07,73165.55
1691671576,585300.74,1.007323E+09,818961.50,52600.07,8.978800E+07,72998.35
1691671586,666462.15,1.013988E+09,817731.59,58796.66,9.037600E+07,72883.81
1691671596,527037.85,1.019258E+09,815406.21,46003.30,9.083600E+07,72668.78
1691671606,892619.05,1.028184E+09,816019.00,79501.70,9.163100E+07,72723.01
1691671616,509695.45,1.033281E+09,813606.98,45999.59,9.209100E+07,72512.59
1691671626,1060213.44,1.043883E+09,815533.57,94301.20,9.303400E+07,72682.81
1691671636,514254.55,1.049026E+09,813197.87,45795.95,9.349200E+07,72474.37
1691671646,1114181.25,1.060167E+09,815512.96,98807.21,9.448000E+07,72676.91
1691671656,627307.02,1.066440E+09,814076.29,55900.63,9.503900E+07,72548.85
1691671666,516854.55,1.071609E+09,811824.41,46795.88,9.550700E+07,72353.74
1691671676,892682.43,1.080535E+09,812432.31,79607.35,9.630300E+07,72408.27
1691671686,532679.58,1.085862E+09,810344.52,47598.18,9.677900E+07,72223.11
1691671696,848231.40,1.094344E+09,810625.16,75402.79,9.753300E+07,72246.66
1691671706,652864.77,1.100873E+09,809465.09,59596.78,9.812900E+07,72153.65
1691671716,580731.56,1.106680E+09,807795.59,50802.76,9.863700E+07,71997.81
1691671726,588851.32,1.112569E+09,806208.91,51395.75,9.915100E+07,71848.51
1691671736,705057.31,1.119619E+09,805481.26,62905.11,9.978000E+07,71784.17
1691671746,791342.26,1.127533E+09,805380.26,70694.84,1.004870E+08,71776.39
1691671756,641645.85,1.133949E+09,804219.11,56904.07,1.010560E+08,71670.92
1691671766,934888.42,1.143298E+09,805139.32,83698.96,1.018930E+08,71755.62
1691671776,594609.67,1.149244E+09,803667.11,54100.88,1.024340E+08,71632.17
1691671786,959392.10,1.158838E+09,804748.55,84899.30,1.032830E+08,71724.30
1691671796,771099.10,1.166549E+09,804516.48,67599.92,1.039590E+08,71695.86
1691671806,557405.69,1.172123E+09,802823.96,49700.51,1.044560E+08,71545.20
1691671816,778922.92,1.179913E+09,802661.35,69693.10,1.051530E+08,71532.60
1691671826,776941.43,1.187682E+09,802487.58,69803.72,1.058510E+08,71520.92
1691671836,519222.77,1.192874E+09,800586.55,46102.02,1.063120E+08,71350.33
1691671846,796499.99,1.200839E+09,800559.31,71300.00,1.070250E+08,71350.00
1691671856,411798.37,1.204957E+09,797984.72,36899.85,1.073940E+08,71121.85
1691671866,560498.06,1.210562E+09,796422.31,49699.83,1.078910E+08,70980.92
1691671876,597004.24,1.216532E+09,795118.93,53300.38,1.084240E+08,70865.36
1691671886,634035.47,1.222873E+09,794072.83,56594.24,1.089900E+08,70772.68
1691671896,811083.42,1.230983E+09,794182.56,71607.36,1.097060E+08,70778.06
1691671906,776380.70,1.238747E+09,794068.44,70098.26,1.104070E+08,70773.70
1691671916,424507.41,1.242992E+09,791714.59,37500.65,1.107820E+08,70561.78
1691671926,1054593.53,1.253538E+09,793378.39,92999.43,1.117120E+08,70703.79
1691671936,788430.38,1.261423E+09,793347.27,69993.82,1.124120E+08,70699.32
1691671946,698771.41,1.268410E+09,792756.23,62506.39,1.130370E+08,70648.12
1691671956,597291.13,1.274383E+09,791542.15,53599.20,1.135730E+08,70542.23
1691671966,750539.97,1.281889E+09,791289.03,66794.66,1.142410E+08,70519.09
1691671976,684734.64,1.288736E+09,790635.35,61903.13,1.148600E+08,70466.24
1691671986,536784.62,1.294104E+09,789087.44,47598.64,1.153360E+08,70326.80
1691671996,985149.89,1.303955E+09,790275.63,87704.44,1.162130E+08,70432.11
1691672006,693491.19,1.310890E+09,789692.59,62099.21,1.168340E+08,70381.91
1691672016,828622.04,1.319176E+09,789925.69,73701.96,1.175710E+08,70401.79
1691672026,1013798.57,1.329314E+09,791258.27,90799.87,1.184790E+08,70523.21
1691672036,672096.16,1.336035E+09,790553.17,59199.66,1.190710E+08,70456.21
1691672046,596906.29,1.342004E+09,789414.08,52500.55,1.195960E+08,70350.58
1691672056,942481.68,1.351429E+09,790309.23,83798.37,1.204340E+08,70429.23
1691672066,940295.40,1.360832E+09,791181.25,84599.59,1.212800E+08,70511.61
1691672076,732515.48,1.368157E+09,790842.14,64901.37,1.219290E+08,70479.19
1691672086,752840.06,1.375686E+09,790623.72,67294.64,1.226020E+08,70460.88
1691672096,790830.13,1.383594E+09,790624.90,70502.69,1.233070E+08,70461.12
1691672106,655381.79,1.390148E+09,789856.46,58198.38,1.238890E+08,70391.44
1691672116,703009.11,1.397178E+09,789365.80,62900.82,1.245180E+08,70349.13
1691672126,578991.81,1.402968E+09,788183.91,51699.27,1.250350E+08,70244.35
1691672136,808645.87,1.411054E+09,788298.21,71904.08,1.257540E+08,70253.62
1691672146,675172.60,1.417806E+09,787669.71,60897.53,1.263630E+08,70201.64
1691672156,610713.76,1.423913E+09,786692.08,54601.23,1.269090E+08,70115.45
1691672166,747216.02,1.431385E+09,786475.18,66501.43,1.275740E+08,70095.60
1691672176,329705.75,1.434682E+09,783979.22,28700.50,1.278610E+08,69869.40
1691672186,849288.93,1.443175E+09,784334.16,74999.02,1.286110E+08,69897.28
1691672196,821588.87,1.451391E+09,784535.54,72899.01,1.293400E+08,69913.50
1691672206,790509.75,1.459296E+09,784567.66,70700.87,1.300470E+08,69917.73
1691672216,739878.77,1.466695E+09,784328.68,66198.10,1.307090E+08,69897.84
1691672226,641774.10,1.473113E+09,783570.38,57397.68,1.312830E+08,69831.35
1691672236,689392.96,1.480007E+09,783072.08,61199.37,1.318950E+08,69785.68
1691672246,1079902.35,1.490805E+09,784634.20,96209.12,1.328570E+08,69924.74
1691672256,738491.21,1.498190E+09,784392.61,66299.21,1.335200E+08,69905.75
1691672266,1018203.08,1.508372E+09,785610.37,90300.27,1.344230E+08,70011.97
1691672276,813178.19,1.516504E+09,785753.21,73098.04,1.351540E+08,70027.97
1691672286,589170.63,1.522396E+09,784739.85,52797.37,1.356820E+08,69939.14
1691672296,819002.99,1.530586E+09,784915.56,73500.27,1.364170E+08,69957.41
1691672306,471431.91,1.535300E+09,783316.26,42002.84,1.368370E+08,69814.79
1691672316,586893.49,1.541169E+09,782319.18,51399.43,1.373510E+08,69721.31
1691672326,958519.13,1.550754E+09,783209.06,84601.69,1.381970E+08,69796.46
1691672336,545299.98,1.556207E+09,782013.53,49400.00,1.386910E+08,69693.97
1691672346,746632.67,1.563674E+09,781836.61,65794.07,1.393490E+08,69674.47
1691672356,808264.77,1.571756E+09,781968.09,71205.71,1.400610E+08,69682.08
1691672366,850110.67,1.580257E+09,782305.42,76900.97,1.408300E+08,69717.82
1691672376,594663.05,1.586204E+09,781381.02,53296.69,1.413630E+08,69636.92
1691672386,753599.02,1.593740E+09,781244.83,67099.91,1.420340E+08,69624.49
1691672396,704441.05,1.600784E+09,780870.20,62703.65,1.426610E+08,69590.73
1691672406,597686.14,1.606761E+09,779980.94,52798.78,1.431890E+08,69509.21
1691672416,1027641.10,1.617038E+09,781177.43,91694.74,1.441060E+08,69616.39
1691672426,660043.97,1.623638E+09,780595.10,59503.96,1.447010E+08,69567.78
1691672436,874819.26,1.632386E+09,781045.92,78101.72,1.454820E+08,69608.61
1691672446,635189.88,1.638738E+09,780351.36,56799.09,1.460500E+08,69547.61
1691672456,676041.89,1.645499E+09,779856.96,60294.82,1.466530E+08,69503.76
1691672466,781932.06,1.653318E+09,779866.75,68302.80,1.473360E+08,69498.09
1691672476,405724.46,1.657375E+09,778110.32,36702.21,1.477030E+08,69344.13
1691672486,798891.05,1.665364E+09,778207.42,71099.20,1.484140E+08,69352.33
1691672496,926793.01,1.674632E+09,778898.52,83199.37,1.492460E+08,69416.74
1691672506,652112.81,1.681153E+09,778311.56,57601.13,1.498220E+08,69362.04
1691672516,865194.64,1.689805E+09,778711.95,76499.53,1.505870E+08,69394.93
1691672526,821102.81,1.698016E+09,778906.40,72800.25,1.513150E+08,69410.55
1691672536,803833.66,1.706055E+09,779020.23,72294.03,1.520380E+08,69423.72
1691672546,798429.59,1.714039E+09,779108.46,72002.67,1.527580E+08,69435.44
1691672556,767169.39,1.721711E+09,779054.43,68697.26,1.534450E+08,69432.10
1691672566,697156.32,1.728682E+09,778685.55,62105.02,1.540660E+08,69399.10
1691672576,752793.06,1.736210E+09,778569.44,66199.39,1.547280E+08,69384.75
1691672586,756911.96,1.743779E+09,778472.76,67101.06,1.553990E+08,69374.55
1691672596,746999.89,1.751249E+09,778332.88,67199.99,1.560710E+08,69364.89
1691672606,504496.60,1.756294E+09,777121.20,45099.70,1.565220E+08,69257.52
1691672616,686969.50,1.763164E+09,776724.04,61097.29,1.571330E+08,69221.57
1691672626,952980.31,1.772694E+09,777497.11,84598.25,1.579790E+08,69289.01
1691672636,723347.62,1.779927E+09,777260.67,64304.23,1.586220E+08,69267.25
1691672646,580004.12,1.785727E+09,776403.03,51700.37,1.591390E+08,69190.87
1691672656,827080.31,1.793998E+09,776622.42,72998.26,1.598690E+08,69207.35
1691672666,689112.58,1.800889E+09,776245.23,61601.12,1.604850E+08,69174.57
1691672676,744228.71,1.808332E+09,776107.81,67093.57,1.611560E+08,69165.63
1691672686,872711.78,1.817059E+09,776520.64,78301.06,1.619390E+08,69204.67
1691672696,786387.24,1.824923E+09,776562.63,69998.86,1.626390E+08,69208.05
1691672706,809553.82,1.833018E+09,776702.41,71404.75,1.633530E+08,69217.36
1691672716,596279.94,1.838981E+09,775941.11,52798.22,1.638810E+08,69148.08
1691672726,705478.11,1.846036E+09,775645.04,63498.03,1.645160E+08,69124.34
1691672736,538544.78,1.851421E+09,774653.07,49004.07,1.650060E+08,69040.16
1691672746,642685.30,1.857848E+09,774103.19,56698.70,1.655730E+08,68988.74
1691672756,868413.38,1.866532E+09,774494.51,76501.18,1.663380E+08,69019.91
1691672766,927223.07,1.875817E+09,775126.49,82785.99,1.671670E+08,69076.87
1691672776,650706.36,1.882315E+09,774615.18,58181.04,1.677480E+08,69032.09
