/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format victoriametrics --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format victoriametrics --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_victoriametrics --urls http://172.31.31.32:8428/write --db-name benchdb --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1660031593,1107082.22,5.948340E+08,1025567.11,98607.32,5.300700E+07,91390.60
1660031603,942520.07,6.042600E+08,1024159.42,83992.88,5.384700E+07,91265.20
1660031613,970447.75,6.139640E+08,1023264.28,86604.26,5.471300E+07,91187.53
1660031623,823228.21,6.221960E+08,1019985.14,73202.51,5.544500E+07,90892.70
1660031633,833775.03,6.305340E+08,1016981.69,74397.77,5.618900E+07,90626.65
1660031643,792607.17,6.384600E+08,1013420.25,70700.64,5.689600E+07,90310.37
1660031653,833376.40,6.467940E+08,1010607.01,74297.90,5.763900E+07,90060.17
1660031663,889840.25,6.556920E+08,1008749.16,79203.58,5.843100E+07,89893.15
1660031673,1090644.41,6.665990E+08,1009990.05,97295.04,5.940400E+07,90005.31
1660031683,1131185.50,6.779110E+08,1011798.94,100698.71,6.041100E+07,90164.91
1660031693,1054585.68,6.884570E+08,1012428.16,93698.73,6.134800E+07,90216.88
1660031703,898062.06,6.974370E+08,1010770.81,80405.56,6.215200E+07,90074.70
1660031713,1089375.66,7.083310E+08,1011893.75,96997.83,6.312200E+07,90173.60
1660031723,1100571.20,7.193370E+08,1013142.75,98097.43,6.410300E+07,90285.21
1660031733,1028862.84,7.296250E+08,1013361.07,91605.60,6.501900E+07,90303.54
1660031743,951731.76,7.391430E+08,1012516.78,84893.91,6.586800E+07,90229.44
1660031753,1088989.60,7.500330E+08,1013550.20,97299.07,6.684100E+07,90324.97
1660031763,1079993.41,7.608320E+08,1014436.03,95608.27,6.779700E+07,90395.41
1660031773,977502.73,7.706070E+08,1013950.07,87600.25,6.867300E+07,90358.63
1660031783,1104068.20,7.816480E+08,1015120.46,98197.17,6.965500E+07,90460.43
1660031793,1064956.73,7.922980E+08,1015759.41,94696.15,7.060200E+07,90514.74
1660031803,1069176.27,8.029890E+08,1016435.52,95306.80,7.155500E+07,90575.39
1660031813,939448.21,8.123840E+08,1015473.13,83895.37,7.239400E+07,90491.89
1660031823,1044853.39,8.228330E+08,1015835.86,92995.85,7.332400E+07,90522.80
1660031833,1111798.69,8.339500E+08,1017006.03,99108.80,7.431500E+07,90627.50
1660031843,936243.82,8.433130E+08,1016032.94,83295.00,7.514800E+07,90539.15
1660031853,1094575.03,8.542590E+08,1016967.98,97697.77,7.612500E+07,90624.37
1660031863,1104178.72,8.653000E+08,1017993.91,98507.02,7.711000E+07,90717.10
1660031873,827318.70,8.735730E+08,1015776.82,73701.67,7.784700E+07,90519.26
1660031883,1121592.90,8.847900E+08,1016993.20,99690.48,7.884400E+07,90624.68
1660031893,893744.55,8.937270E+08,1015592.73,79703.97,7.964100E+07,90500.59
1660031903,1083320.63,9.045600E+08,1016353.69,96601.84,8.060700E+07,90569.14
1660031913,1013289.19,9.146930E+08,1016319.64,90699.03,8.151400E+07,90570.58
1660031923,870152.17,9.233950E+08,1014713.33,76995.77,8.228400E+07,90421.40
1660031933,821217.30,9.316070E+08,1012610.17,73401.55,8.301800E+07,90236.41
1660031943,834657.91,9.399530E+08,1010696.85,74205.15,8.376000E+07,90064.04
1660031953,878867.68,9.487420E+08,1009294.37,78297.12,8.454300E+07,89938.86
1660031963,1086850.80,9.596110E+08,1010110.78,96995.61,8.551300E+07,90013.14
1660031973,1096764.41,9.705780E+08,1011013.37,97605.73,8.648900E+07,90092.23
1660031983,1011881.49,9.806970E+08,1011022.32,89998.35,8.738900E+07,90091.26
1660031993,1083098.56,9.915280E+08,1011757.78,96699.87,8.835600E+07,90158.70
1660032003,1055465.85,1.002083E+09,1012199.29,94196.95,8.929800E+07,90199.49
1660032013,1082729.27,1.012910E+09,1012904.57,96402.61,9.026200E+07,90261.52
1660032023,974549.30,1.022655E+09,1012524.83,86504.38,9.112700E+07,90224.32
1660032033,1105711.81,1.033713E+09,1013438.50,98792.12,9.211500E+07,90308.32
1660032043,1024339.97,1.043956E+09,1013544.33,91403.57,9.302900E+07,90318.96
1660032053,1048329.10,1.054439E+09,1013878.79,93402.59,9.396300E+07,90348.61
1660032063,1114222.66,1.065582E+09,1014834.51,99393.10,9.495700E+07,90434.75
1660032073,1051817.32,1.076100E+09,1015183.40,93701.54,9.589400E+07,90465.57
1660032083,1031955.69,1.086419E+09,1015340.14,91704.95,9.681100E+07,90477.15
1660032093,1085069.62,1.097270E+09,1015985.80,96897.29,9.778000E+07,90536.60
1660032103,1025773.07,1.107528E+09,1016075.59,91497.60,9.869500E+07,90545.41
1660032113,1036264.83,1.117890E+09,1016259.12,91905.75,9.961400E+07,90557.78
1660032123,1060182.38,1.128492E+09,1016654.83,94798.42,1.005620E+08,90595.98
1660032133,1131919.22,1.139811E+09,1017683.95,100701.71,1.015690E+08,90686.21
1660032143,1012718.15,1.149939E+09,1017640.00,90292.70,1.024720E+08,90682.73
1660032153,1016567.64,1.160104E+09,1017630.60,90506.02,1.033770E+08,90681.18
1660032163,1102376.65,1.171128E+09,1018367.53,98197.92,1.043590E+08,90746.54
1660032173,1068215.94,1.181810E+09,1018797.25,95101.42,1.053100E+08,90784.08
1660032183,1007396.33,1.191884E+09,1018699.81,90099.67,1.062110E+08,90778.23
1660032193,1091003.28,1.202794E+09,1019312.54,97200.29,1.071830E+08,90832.66
1660032203,953980.80,1.212334E+09,1018763.53,84998.29,1.080330E+08,90783.63
1660032213,830996.14,1.220644E+09,1017198.80,74199.66,1.087750E+08,90645.43
1660032223,817613.43,1.228820E+09,1015549.37,72501.19,1.095000E+08,90495.48
1660032233,830666.40,1.237127E+09,1014033.88,74097.00,1.102410E+08,90361.06
1660032243,956361.65,1.246690E+09,1013565.03,85205.49,1.110930E+08,90319.15
1660032253,1091372.16,1.257604E+09,1014192.52,97497.51,1.120680E+08,90377.04
1660032263,1093287.06,1.268537E+09,1014825.28,96998.85,1.130380E+08,90430.02
1660032273,1021533.37,1.278752E+09,1014878.52,91002.97,1.139480E+08,90434.56
1660032283,1093899.26,1.289691E+09,1015500.73,97899.93,1.149270E+08,90493.34
1660032293,1062987.57,1.300321E+09,1015871.72,94698.89,1.158740E+08,90526.20
1660032303,1110124.84,1.311423E+09,1016602.41,98693.32,1.168610E+08,90589.52
1660032313,947281.28,1.320895E+09,1016069.22,84607.26,1.177070E+08,90543.50
1660032323,1101365.72,1.331909E+09,1016720.36,97796.96,1.186850E+08,90598.87
1660032333,1091704.39,1.342826E+09,1017288.41,97600.39,1.196610E+08,90651.92
1660032343,1083290.60,1.353659E+09,1017784.67,96299.16,1.206240E+08,90694.38
1660032353,968578.25,1.363345E+09,1017417.45,86398.06,1.214880E+08,90662.31
1660032363,1073951.57,1.374084E+09,1017836.20,95804.60,1.224460E+08,90700.40
1660032373,1112258.91,1.385207E+09,1018530.51,99196.34,1.234380E+08,90762.87
1660032383,961971.45,1.394827E+09,1018117.66,85497.46,1.242930E+08,90724.44
1660032393,1094500.46,1.405772E+09,1018671.16,97500.04,1.252680E+08,90773.54
1660032403,1092994.01,1.416702E+09,1019205.85,97599.46,1.262440E+08,90822.65
1660032413,1068468.59,1.427386E+09,1019557.71,95106.10,1.271950E+08,90853.24
1660032423,973388.87,1.437120E+09,1019230.27,86799.01,1.280630E+08,90824.49
1660032433,1123029.33,1.448350E+09,1019961.22,99802.61,1.290610E+08,90887.71
1660032443,1068749.90,1.459038E+09,1020302.42,95495.52,1.300160E+08,90919.93
1660032453,1073094.13,1.469769E+09,1020669.03,95599.48,1.309720E+08,90952.43
1660032463,982423.38,1.479593E+09,1020405.27,87602.09,1.318480E+08,90929.33
1660032473,1110451.99,1.490698E+09,1021022.05,98995.72,1.328380E+08,90984.58
1660032483,1024660.50,1.500944E+09,1021046.80,91205.38,1.337500E+08,90986.08
1660032493,858596.30,1.509530E+09,1019949.16,76499.67,1.345150E+08,90888.20
1660032503,825689.24,1.517787E+09,1018645.39,73799.04,1.352530E+08,90773.50
1660032513,815110.18,1.525938E+09,1017288.51,72600.91,1.359790E+08,90652.36
1660032523,888996.84,1.534828E+09,1016438.90,78899.72,1.367680E+08,90574.52
1660032533,1095855.83,1.545787E+09,1016961.40,97896.05,1.377470E+08,90622.69
1660032543,1087924.61,1.556666E+09,1017425.20,96802.19,1.387150E+08,90663.08
1660032553,1098130.93,1.567647E+09,1017949.25,98002.76,1.396950E+08,90710.74
1660032563,967840.92,1.577326E+09,1017625.95,85994.75,1.405550E+08,90680.31
1660032573,1091776.13,1.588243E+09,1018101.23,97206.78,1.415270E+08,90722.15
1660032583,1102270.22,1.599266E+09,1018637.36,98297.34,1.425100E+08,90770.40
1660032593,1026209.42,1.609528E+09,1018685.28,91700.84,1.434270E+08,90776.29
1660032603,966588.99,1.619194E+09,1018357.63,86199.02,1.442890E+08,90747.50
1660032613,1085092.57,1.630045E+09,1018774.72,96599.34,1.452550E+08,90784.07
1660032623,1065351.34,1.640698E+09,1019064.00,94704.56,1.462020E+08,90808.42
1660032633,1067404.42,1.651373E+09,1019362.43,95391.46,1.471560E+08,90836.71
1660032643,990018.54,1.661273E+09,1019182.41,88101.65,1.480370E+08,90819.93
1660032653,1108537.81,1.672358E+09,1019727.24,98803.37,1.490250E+08,90868.61
1660032663,1096726.05,1.683325E+09,1020193.88,97602.32,1.500010E+08,90909.42
1660032673,1022999.68,1.693555E+09,1020210.79,91199.97,1.509130E+08,90911.17
1660032683,1067249.79,1.704228E+09,1020492.47,95195.52,1.518650E+08,90936.83
1660032693,1073766.00,1.714966E+09,1020809.58,95596.97,1.528210E+08,90964.57
1660032703,1085053.83,1.725816E+09,1021189.71,96604.79,1.537870E+08,90997.94
1660032713,964471.31,1.735461E+09,1020856.06,85997.44,1.546470E+08,90968.52
1660032723,982678.48,1.745288E+09,1020632.79,87698.08,1.555240E+08,90949.40
1660032733,915379.65,1.754441E+09,1020020.91,81507.09,1.563390E+08,90894.51
1660032743,1086973.84,1.765311E+09,1020407.93,96897.67,1.573080E+08,90929.21
1660032753,978680.86,1.775098E+09,1020168.12,87298.29,1.581810E+08,90908.34
1660032763,1064484.30,1.785743E+09,1020421.35,94698.60,1.591280E+08,90930.00
1660032773,1031704.75,1.796060E+09,1020485.46,91900.42,1.600470E+08,90935.51
1660032783,843588.76,1.804496E+09,1019486.04,75099.00,1.607980E+08,90846.04
1660032793,833101.96,1.812827E+09,1018438.94,74000.17,1.615380E+08,90751.40
1660032803,833482.58,1.821162E+09,1017405.65,74498.44,1.622830E+08,90660.60
1660032813,929957.06,1.830461E+09,1016919.85,83005.09,1.631130E+08,90618.07
1660032823,1115965.34,1.841621E+09,1017467.08,99396.91,1.641070E+08,90666.58
1660032833,1103334.35,1.852654E+09,1017938.86,98103.05,1.650880E+08,90707.43
1660032843,1020594.64,1.862860E+09,1017953.38,91299.52,1.660010E+08,90710.67
1660032853,1000520.83,1.872865E+09,1017858.64,89201.86,1.668930E+08,90702.47
1660032863,1121383.08,1.884079E+09,1018418.23,99598.50,1.678890E+08,90750.56
1660032873,1028379.18,1.894363E+09,1018471.79,91898.14,1.688080E+08,90756.73
1660032883,1064256.01,1.905005E+09,1018716.61,95005.00,1.697580E+08,90779.44
1660032893,1104659.90,1.916052E+09,1019173.77,97996.44,1.707380E+08,90817.83
1660032903,1071822.57,1.926770E+09,1019452.33,95702.02,1.716950E+08,90843.68
1660032913,994670.20,1.936717E+09,1019321.89,88497.35,1.725800E+08,90831.33
1660032923,1088093.88,1.947598E+09,1019681.96,97499.45,1.735550E+08,90866.24
1660032933,1125666.07,1.958855E+09,1020233.97,99896.99,1.745540E+08,90913.27
